words,length,layouts,dist,home,dpl,dpj,meas
DICHLORODIPHENYLTRICHLOROETHANE,31,qwerty,2119.49,19.35,68.371,70.65,dist
ANTIDISESTABLISHMENTARIANISM,28,qwerty,2031.77,35.71,72.563,75.251,dist
ELECTROENCEPHALOGRAPHICALLY,27,qwerty,2006.96,25.93,74.332,77.191,dist
ELECTROENCEPHALOGRAPHICAL,25,qwerty,1942.18,24.0,77.687,80.924,dist
MANDIBULOSUSPENSORIAL,21,qwerty,1912.16,38.1,91.055,95.608,dist
HYDROXYDESOXYCORTICOSTERONE,27,qwerty,1827.8,14.81,67.696,70.3,dist
MICROSPECTROPHOTOMETRICALLY,27,qwerty,1809.18,14.81,67.007,69.584,dist
HYDROXYDEHYDROCORTICOSTERONE,28,qwerty,1785.18,14.29,63.756,66.118,dist
ANTIDISESTABLISHMENTARIAN,25,qwerty,1769.17,36.0,70.767,73.715,dist
MICROSPECTROPHOTOMETRICAL,25,qwerty,1744.4,12.0,69.776,72.683,dist
ELECTROENCEPHALOGRAPHIC,23,qwerty,1738.49,17.39,75.587,79.022,dist
DISESTABLISHMENTARIANISM,24,qwerty,1725.03,37.5,71.876,75.001,dist
DISESTABLISMENTARIANISM,23,qwerty,1720.98,39.13,74.825,78.226,dist
SCIENTIFICOGEOGRAPHICAL,23,qwerty,1720.74,21.74,74.815,78.215,dist
PSEUDOHERMAPHRODITISM,21,qwerty,1699.27,23.81,80.918,84.964,dist
ELECTROENCEPHALOGRAPHS,22,qwerty,1686.81,22.73,76.673,80.324,dist
FORMALDEHYDESULPHOXYLATE,24,qwerty,1683.69,37.5,70.154,73.204,dist
HISTORICOCABBALISTICAL,22,qwerty,1683.55,31.82,76.525,80.169,dist
ZYGOMATICOAURICULARIS,21,qwerty,1683.01,23.81,80.143,84.15,dist
BLEPHAROHEMATIDROSIS,20,qwerty,1682.38,30.0,84.119,88.546,dist
PALAPALA,8,qwerty,1112.91,75.0,139.114,158.987,dpl
PALAPALAI,9,qwerty,1242.9,66.67,138.1,155.362,dpl
PAPAL,5,qwerty,655.71,60.0,131.142,163.928,dpl
PALALA,6,qwerty,777.37,83.33,129.562,155.474,dpl
ALAPA,5,qwerty,640.34,80.0,128.068,160.085,dpl
PAPA,4,qwerty,503.31,50.0,125.828,167.77,dpl
JALAPA,6,qwerty,754.64,83.33,125.773,150.928,dpl
PALAKA,6,qwerty,739.27,83.33,123.212,147.854,dpl
JALAPS,6,qwerty,735.73,83.33,122.622,147.146,dpl
ALALA,5,qwerty,609.6,100.0,121.92,152.4,dpl
ANAPANAPA,9,qwerty,1097.04,55.56,121.893,137.13,dpl
PAPS,4,qwerty,484.4,50.0,121.1,161.467,dpl
HALAPEPE,8,qwerty,967.87,37.5,120.984,138.267,dpl
PALAMA,6,qwerty,723.13,66.67,120.522,144.626,dpl
SLAPS,5,qwerty,602.38,80.0,120.476,150.595,dpl
KAPAI,5,qwerty,598.88,60.0,119.776,149.72,dpl
SOAPS,5,qwerty,595.48,60.0,119.096,148.87,dpl
PALAIS,6,qwerty,713.74,66.67,118.957,142.748,dpl
NAPAL,5,qwerty,594.43,60.0,118.886,148.608,dpl
PALA,4,qwerty,472.57,75.0,118.142,157.523,dpl
QP,2,qwerty,171.45,0.0,85.725,171.45,dpj
PQ,2,qwerty,171.45,0.0,85.725,171.45,dpj
APA,3,qwerty,335.54,66.67,111.847,167.77,dpj
PAPA,4,qwerty,503.31,50.0,125.828,167.77,dpj
AP,2,qwerty,167.77,50.0,83.885,167.77,dpj
PA,2,qwerty,167.77,50.0,83.885,167.77,dpj
PAP,3,qwerty,335.54,33.33,111.847,167.77,dpj
PAPAL,5,qwerty,655.71,60.0,131.142,163.928,dpj
PAPS,4,qwerty,484.4,50.0,121.1,161.467,dpj
ALAPA,5,qwerty,640.34,80.0,128.068,160.085,dpj
LAP,3,qwerty,320.17,66.67,106.723,160.085,dpj
PAL,3,qwerty,320.17,66.67,106.723,160.085,dpj
PALAPALA,8,qwerty,1112.91,75.0,139.114,158.987,dpj
SPA,3,qwerty,316.63,66.67,105.543,158.315,dpj
QL,2,qwerty,158.31,50.0,79.155,158.31,dpj
ALAP,4,qwerty,472.57,75.0,118.142,157.523,dpj
PALA,4,qwerty,472.57,75.0,118.142,157.523,dpj
LAPS,4,qwerty,469.03,75.0,117.258,156.343,dpj
KAPA,4,qwerty,468.89,75.0,117.222,156.297,dpj
PAPE,4,qwerty,468.89,25.0,117.222,156.297,dpj
