rank,qwwords,length_x,qwerty,qw_dpl,qw_dpj,dvwords,length_y,dvorak,dv_dpl,dv_dpj,cowords,length_x,colemak,co_dpl,co_dpj,wowords,length_y,workman,wo_dpl,wo_dpj
1,OII,3,19.05,6.35,9.525,HHD,3,19.05,6.35,9.525,HHD,3,19.05,6.35,9.525,CCM,3,19.05,6.35,9.525
2,AAS,3,19.05,6.35,9.525,XXI,3,21.3,7.1,10.65,OII,3,19.05,6.35,9.525,OII,3,19.05,6.35,9.525
3,TTY,3,19.05,6.35,9.525,VSS,3,21.3,7.1,10.65,ULL,3,19.05,6.35,9.525,GTT,3,19.05,6.35,9.525
4,ERR,3,19.05,6.35,9.525,JEE,3,21.3,7.1,10.65,DDT,3,19.05,6.35,9.525,AAS,3,19.05,6.35,9.525
5,OPP,3,19.05,6.35,9.525,XII,3,21.3,7.1,10.65,ARR,3,19.05,6.35,9.525,NEE,3,19.05,6.35,9.525
6,REE,3,19.05,6.35,9.525,PEE,3,23.81,7.937,11.905,TSS,3,19.05,6.35,9.525,EEN,3,19.05,6.35,9.525
7,WEE,3,19.05,6.35,9.525,IFF,3,23.81,7.937,11.905,NEE,3,19.05,6.35,9.525,ASS,3,19.05,6.35,9.525
8,ASS,3,19.05,6.35,9.525,PPI,3,30.49,10.163,15.245,EEN,3,19.05,6.35,9.525,SAA,3,19.05,6.35,9.525
9,EER,3,19.05,6.35,9.525,GTT,3,30.49,10.163,15.245,PPT,3,19.64,6.547,9.82,SHH,3,19.05,6.35,9.525
10,SAA,3,19.05,6.35,9.525,KEE,3,34.34,11.447,17.17,PTT,3,19.64,6.547,9.82,OPP,3,19.64,6.547,9.82
11,GTT,3,19.64,6.547,9.82,NTH,3,38.1,12.7,19.05,EMM,3,21.3,7.1,10.65,EEL,3,21.3,7.1,10.65
12,DEE,3,19.64,6.547,9.82,CRL,3,38.1,12.7,19.05,MEE,3,21.3,7.1,10.65,ELL,3,21.3,7.1,10.65
13,LOO,3,19.64,6.547,9.82,GRR,3,38.1,12.7,19.05,UNN,3,23.81,7.937,11.905,LEE,3,21.3,7.1,10.65
14,ESS,3,23.81,7.937,11.905,TNT,3,38.1,12.7,19.05,SSP,3,23.81,7.937,11.905,UNN,3,23.81,7.937,11.905
