words,length,layouts,dist,home,dpl,dpj
HHD,3,dvorak,19.05,66.67,6.35,9.525
XXI,3,dvorak,21.3,0.0,7.1,10.65
XII,3,dvorak,21.3,0.0,7.1,10.65
JEE,3,dvorak,21.3,66.67,7.1,10.65
VSS,3,dvorak,21.3,66.67,7.1,10.65
IFF,3,dvorak,23.81,0.0,7.937,11.905
PEE,3,dvorak,23.81,66.67,7.937,11.905
GTT,3,dvorak,30.49,66.67,10.163,15.245
PPI,3,dvorak,30.49,0.0,10.163,15.245
KEE,3,dvorak,34.34,66.67,11.447,17.17
TNT,3,dvorak,38.1,100.0,12.7,19.05
DID,3,dvorak,38.1,0.0,12.7,19.05
CRL,3,dvorak,38.1,0.0,12.7,19.05
CRC,3,dvorak,38.1,0.0,12.7,19.05
NTH,3,dvorak,38.1,100.0,12.7,19.05
XXII,4,dvorak,21.3,0.0,5.325,7.1
XIII,4,dvorak,21.3,0.0,5.325,7.1
IEEE,4,dvorak,38.1,75.0,9.525,12.7
VVLL,4,dvorak,38.4,0.0,9.6,12.8
DIFF,4,dvorak,42.86,0.0,10.715,14.287
EPPY,4,dvorak,42.86,25.0,10.715,14.287
IFFY,4,dvorak,42.86,0.0,10.715,14.287
JEEP,4,dvorak,45.11,50.0,11.278,15.037
PEEP,4,dvorak,47.62,50.0,11.905,15.873
EPEE,4,dvorak,47.62,75.0,11.905,15.873
PIFF,4,dvorak,54.3,0.0,13.575,18.1
EJOO,4,dvorak,55.64,75.0,13.91,18.547
BRRR,4,dvorak,57.35,0.0,14.338,19.117
POOA,4,dvorak,57.45,75.0,14.362,19.15
PUFF,4,dvorak,58.04,25.0,14.51,19.347
XXIII,5,dvorak,21.3,0.0,4.26,5.325
PUPPY,5,dvorak,58.33,20.0,11.666,14.582
KIKKI,5,dvorak,63.9,0.0,12.78,15.975
PEEPY,5,dvorak,66.67,40.0,13.334,16.668
PEPPY,5,dvorak,66.67,20.0,13.334,16.668
DIPPY,5,dvorak,68.59,0.0,13.718,17.148
DIDDY,5,dvorak,68.59,0.0,13.718,17.148
KIDDY,5,dvorak,70.84,0.0,14.168,17.71
KIPPY,5,dvorak,70.84,0.0,14.168,17.71
IDDHI,5,dvorak,76.2,20.0,15.24,19.05
DUPPY,5,dvorak,76.79,20.0,15.358,19.198
PUFFY,5,dvorak,77.09,20.0,15.418,19.272
BIFFY,5,dvorak,77.2,0.0,15.44,19.3
QUIFF,5,dvorak,77.2,20.0,15.44,19.3
JIFFY,5,dvorak,77.2,0.0,15.44,19.3
DIPPPY,6,dvorak,68.59,0.0,11.432,13.718
YIPPEE,6,dvorak,73.94,33.33,12.323,14.788
UPPUFF,6,dvorak,77.68,33.33,12.947,15.536
KIDDIE,6,dvorak,97.5,16.67,16.25,19.5
BHIKKU,6,dvorak,102.0,33.33,17.0,20.4
QUIPPY,6,dvorak,102.93,16.67,17.155,20.586
QUIPPU,6,dvorak,103.52,33.33,17.253,20.704
QUIPPE,6,dvorak,107.69,33.33,17.948,21.538
BIDDIE,6,dvorak,110.54,16.67,18.423,22.108
TIPPEE,6,dvorak,111.45,50.0,18.575,22.29
CHIPPY,6,dvorak,111.45,16.67,18.575,22.29
KIKUYU,6,dvorak,111.52,33.33,18.587,22.304
YUPPIE,6,dvorak,112.04,33.33,18.673,22.408
PUDDEE,6,dvorak,114.89,50.0,19.148,22.978
DIKDIK,6,dvorak,115.04,0.0,19.173,23.008
PUPPIFY,7,dvorak,112.63,14.29,16.09,18.772
GIDDIFY,7,dvorak,119.36,0.0,17.051,19.893
DIFFIDE,7,dvorak,142.87,14.29,20.41,23.812
PEEPEYE,7,dvorak,148.23,57.14,21.176,24.705
QUIDDIT,7,dvorak,148.64,28.57,21.234,24.773
PYGIDID,7,dvorak,152.7,0.0,21.814,25.45
CYDIPPE,7,dvorak,160.99,14.29,22.999,26.832
CHIPPIE,7,dvorak,160.99,28.57,22.999,26.832
QUIPPED,7,dvorak,164.84,28.57,23.549,27.473
PUPPIED,7,dvorak,165.02,28.57,23.574,27.503
MIGHTNT,7,dvorak,166.48,57.14,23.783,27.747
MUDDIFY,7,dvorak,169.35,14.29,24.193,28.225
DEQUEUE,7,dvorak,169.94,71.43,24.277,28.323
OUGHTNT,7,dvorak,170.63,85.71,24.376,28.438
GIDDIED,7,dvorak,171.75,14.29,24.536,28.625
EQUIPPED,8,dvorak,186.14,37.5,23.268,26.591
CYDIPPID,8,dvorak,186.72,0.0,23.34,26.674
WHIGGIFY,8,dvorak,192.1,12.5,24.012,27.443
BOOKKEEP,8,dvorak,197.26,50.0,24.658,28.18
DIBBUKIM,8,dvorak,198.57,12.5,24.821,28.367
DIFFIDED,8,dvorak,200.02,12.5,25.002,28.574
PUPPYING,8,dvorak,201.08,25.0,25.135,28.726
PYXIDIUM,8,dvorak,207.53,12.5,25.941,29.647
MUDPUPPY,8,dvorak,212.68,25.0,26.585,30.383
QUIDDITY,8,dvorak,213.42,25.0,26.678,30.489
THUIDIUM,8,dvorak,221.74,50.0,27.718,31.677
PYGIDIUM,8,dvorak,222.04,12.5,27.755,31.72
DIDDIKAI,8,dvorak,223.99,12.5,27.999,31.999
QUIFFING,8,dvorak,224.12,25.0,28.015,32.017
PUPPYISM,8,dvorak,224.51,25.0,28.064,32.073
OKUPUKUPU,9,dvorak,193.75,55.56,21.528,24.219
HIPPIDIUM,9,dvorak,225.57,22.22,25.063,28.196
DIFFIDING,9,dvorak,227.88,11.11,25.32,28.485
PUPPYFEET,9,dvorak,228.37,44.44,25.374,28.546
HITCHHIKE,9,dvorak,232.44,55.56,25.827,29.055
PUPPYFISH,9,dvorak,253.59,33.33,28.177,31.699
EQUIPPING,9,dvorak,258.78,33.33,28.753,32.347
RHIPIDIUM,9,dvorak,263.97,22.22,29.33,32.996
PUPPYFOOT,9,dvorak,265.61,44.44,29.512,33.201
JOYPOPPED,9,dvorak,266.89,33.33,29.654,33.361
HICCUPPED,9,dvorak,268.37,33.33,29.819,33.546
EQUIPPERS,9,dvorak,270.66,44.44,30.073,33.832
EPHIPPIUM,9,dvorak,276.06,33.33,30.673,34.508
DIFFIDENT,9,dvorak,276.22,33.33,30.691,34.528
PUPPYHOOD,9,dvorak,276.69,44.44,30.743,34.586
HITCHHIKED,10,dvorak,289.59,50.0,28.959,32.177
REEQUIPPED,10,dvorak,297.32,40.0,29.732,33.036
