words,length,layouts,dist,home,dpl,dpj
OII,3,qwerty,19.05,0.0,6.35,9.525
AAS,3,qwerty,19.05,100.0,6.35,9.525
TTY,3,qwerty,19.05,0.0,6.35,9.525
ERR,3,qwerty,19.05,0.0,6.35,9.525
OPP,3,qwerty,19.05,0.0,6.35,9.525
REE,3,qwerty,19.05,0.0,6.35,9.525
WEE,3,qwerty,19.05,0.0,6.35,9.525
ASS,3,qwerty,19.05,100.0,6.35,9.525
EER,3,qwerty,19.05,0.0,6.35,9.525
SAA,3,qwerty,19.05,100.0,6.35,9.525
GTT,3,qwerty,19.64,0.0,6.547,9.82
DEE,3,qwerty,19.64,33.33,6.547,9.82
LOO,3,qwerty,19.64,33.33,6.547,9.82
ESS,3,qwerty,23.81,66.67,7.937,11.905
SEE,3,qwerty,23.81,33.33,7.937,11.905
POOP,4,qwerty,38.1,0.0,9.525,12.7
SASS,4,qwerty,38.1,100.0,9.525,12.7
WEER,4,qwerty,38.1,0.0,9.525,12.7
TREE,4,qwerty,38.1,0.0,9.525,12.7
REED,4,qwerty,38.69,25.0,9.672,12.897
DEER,4,qwerty,38.69,25.0,9.672,12.897
POLL,4,qwerty,38.69,50.0,9.672,12.897
WEED,4,qwerty,38.69,25.0,9.672,12.897
FREE,4,qwerty,38.69,25.0,9.672,12.897
REDD,4,qwerty,38.69,50.0,9.672,12.897
POOL,4,qwerty,38.69,25.0,9.672,12.897
LOOP,4,qwerty,38.69,25.0,9.672,12.897
DEDD,4,qwerty,39.28,75.0,9.82,13.093
DEED,4,qwerty,39.28,50.0,9.82,13.093
LOLL,4,qwerty,39.28,75.0,9.82,13.093
DEESS,5,qwerty,43.45,60.0,8.69,10.862
ESSEE,5,qwerty,47.62,40.0,9.524,11.905
REREE,5,qwerty,57.15,0.0,11.43,14.288
ERRED,5,qwerty,57.74,20.0,11.548,14.435
SWEER,5,qwerty,57.74,20.0,11.548,14.435
FREER,5,qwerty,57.74,20.0,11.548,14.435
REEDS,5,qwerty,57.74,40.0,11.548,14.435
REDDS,5,qwerty,57.74,60.0,11.548,14.435
TREED,5,qwerty,57.74,20.0,11.548,14.435
WEEDS,5,qwerty,57.74,40.0,11.548,14.435
