row,row_index,x-coord,y-coord,qwerty,dvorak,colemak,workman,home_row
1,1,0,0,Q,',Q,Q,0
1,2,0,19.05,W,",",W,D,0
1,3,0,38.1,E,.,F,R,0
1,4,0,57.15,R,P,P,W,0
1,5,0,76.2,T,Y,G,B,0
1,6,0,95.25,Y,F,J,J,0
1,7,0,114.3,U,G,L,F,0
1,8,0,133.35,I,C,U,U,0
1,9,0,152.4,O,R,Y,P,0
1,10,0,171.45,P,L,;,;,0
2,1,19.05,4.7625,A,A,A,A,1
2,2,19.05,23.8125,S,O,R,S,1
2,3,19.05,42.8625,D,E,S,H,1
2,4,19.05,61.9125,F,U,T,T,1
2,5,19.05,80.9625,G,I,D,G,0
2,6,19.05,100.0125,H,D,H,Y,0
2,7,19.05,119.0625,J,H,N,N,1
2,8,19.05,138.1125,K,T,E,E,1
2,9,19.05,157.1625,L,N,I,O,1
2,10,19.05,176.2125,;,S,O,I,1
3,1,38.1,14.2875,Z,;,Z,Z,0
3,2,38.1,33.3375,X,Q,X,X,0
3,3,38.1,52.3875,C,J,C,M,0
3,4,38.1,71.4375,V,K,V,C,0
3,5,38.1,90.4875,B,X,B,V,0
3,6,38.1,109.5375,N,B,K,K,0
3,7,38.1,128.5875,M,M,M,L,0
3,8,38.1,147.6375,",",W,",",",",0
3,9,38.1,166.6875,.,V,.,.,0
3,10,38.1,185.7375,/,Z,/,/,0
