words,length,layouts,dist,home,dpl,dpj,meas
HYDROXYDESOXYCORTICOSTERONE,27,colemak,2558.52,62.96,94.76,98.405,dist
HYDROXYDEHYDROCORTICOSTERONE,28,colemak,2456.35,60.71,87.727,90.976,dist
DICHLORODIPHENYLTRICHLOROETHANE,31,colemak,2240.55,58.06,72.276,74.685,dist
ZYGOMATICOAURICULARIS,21,colemak,2020.89,57.14,96.233,101.044,dist
PHILOSOPHICOPSYCHOLOGICAL,25,colemak,2012.44,44.0,80.498,83.852,dist
ANTIDISESTABLISHMENTARIANISM,28,colemak,1999.52,78.57,71.411,74.056,dist
MICROSPECTROPHOTOMETRICALLY,27,colemak,1967.11,59.26,72.856,75.658,dist
DIHDROXYCHOLECALCIFEROL,23,colemak,1944.23,43.48,84.532,88.374,dist
HYDROXYCORTICOSTERONE,21,colemak,1929.69,66.67,91.89,96.484,dist
MICROSPECTROPHOTOMETRICAL,25,colemak,1929.01,64.0,77.16,80.375,dist
URETEROCYSTANASTOMOSIS,22,colemak,1928.84,81.82,87.675,91.85,dist
FORMALDEHYDESULPHOXYLATE,24,colemak,1894.05,41.67,78.919,82.35,dist
SNAILFISHESSNAILFLOWER,22,colemak,1891.57,68.18,85.98,90.075,dist
SCIENTIFICOPHILOSOPHICAL,24,colemak,1887.85,58.33,78.66,82.08,dist
DESOXYCORTICOSTERONE,20,colemak,1876.22,75.0,93.811,98.748,dist
PHILOSOPHICOHISTORICAL,22,colemak,1874.57,59.09,85.208,89.265,dist
SCLEROTICOCHORIOIDITIS,22,colemak,1866.33,72.73,84.833,88.873,dist
SCLEROTICOCHOROIDITIS,21,colemak,1866.33,71.43,88.873,93.316,dist
PATHOLOGICOPSYCHOLOGICAL,24,colemak,1847.08,45.83,76.962,80.308,dist
DESOXYRIBONUCLEOPROTEIN,23,colemak,1846.16,65.22,80.268,83.916,dist
COROZOS,7,colemak,889.51,71.43,127.073,148.252,dpl
COROZO,6,colemak,756.16,66.67,126.027,151.232,dpl
SORORIZE,8,colemak,993.32,87.5,124.165,141.903,dpl
RIRORIRO,8,colemak,990.6,100.0,123.825,141.514,dpl
SORORIAL,8,colemak,987.48,87.5,123.435,141.069,dpl
BOROROAN,8,colemak,983.17,87.5,122.896,140.453,dpl
TOCORORO,8,colemak,974.46,87.5,121.808,139.209,dpl
POROPORO,8,colemak,971.34,75.0,121.418,138.763,dpl
ROSORIAL,8,colemak,968.43,87.5,121.054,138.347,dpl
COROA,5,colemak,601.53,80.0,120.306,150.382,dpl
ZOAEA,5,colemak,601.19,80.0,120.238,150.298,dpl
ISOAURORE,9,colemak,1079.37,88.89,119.93,134.921,dpl
TOROTORO,8,colemak,952.5,100.0,119.062,136.071,dpl
SPOROZOA,8,colemak,946.72,75.0,118.34,135.246,dpl
AURORIAN,8,colemak,946.02,87.5,118.252,135.146,dpl
SPOROZOAN,9,colemak,1061.02,77.78,117.891,132.628,dpl
RIZIFORM,8,colemak,940.52,62.5,117.565,134.36,dpl
SPOROZOAL,9,colemak,1057.9,66.67,117.544,132.238,dpl
ISOCORIA,8,colemak,936.36,87.5,117.045,133.766,dpl
ZIZIA,5,colemak,584.82,60.0,116.964,146.205,dpl
AO,2,colemak,171.45,100.0,85.725,171.45,dpj
ZOA,3,colemak,334.49,66.67,111.497,167.245,dpj
WOA,3,colemak,329.76,66.67,109.92,164.88,dpj
ZO,2,colemak,163.04,50.0,81.52,163.04,dpj
OZ,2,colemak,163.04,50.0,81.52,163.04,dpj
AOR,3,colemak,323.85,100.0,107.95,161.925,dpj
IAO,3,colemak,323.85,100.0,107.95,161.925,dpj
YAO,3,colemak,320.31,66.67,106.77,160.155,dpj
WO,2,colemak,158.31,50.0,79.155,158.31,dpj
OW,2,colemak,158.31,50.0,79.155,158.31,dpj
IQ,2,colemak,158.31,50.0,79.155,158.31,dpj
WOW,3,colemak,316.62,33.33,105.54,158.31,dpj
ROW,3,colemak,310.71,66.67,103.57,155.355,dpj
IA,2,colemak,152.4,100.0,76.2,152.4,dpj
OR,2,colemak,152.4,100.0,76.2,152.4,dpj
RO,2,colemak,152.4,100.0,76.2,152.4,dpj
AI,2,colemak,152.4,100.0,76.2,152.4,dpj
QY,2,colemak,152.4,0.0,76.2,152.4,dpj
COROZO,6,colemak,756.16,66.67,126.027,151.232,dpj
COROA,5,colemak,601.53,80.0,120.306,150.382,dpj
