words,length,layouts,dist,home,dpl,dpj,meas
REGENERATORYREGENERATRESS,25,dvorak,2427.09,64.0,97.084,101.129,dist
DICHLORODIPHENYLTRICHLOROETHANE,31,dvorak,2317.24,51.61,74.75,77.241,dist
ANTIDISESTABLISHMENTARIANISM,28,dvorak,2274.11,60.71,81.218,84.226,dist
URETEROCYSTANASTOMOSIS,22,dvorak,2261.44,72.73,102.793,107.688,dist
ALKYLBENZENESULFONATES,22,dvorak,2228.52,63.64,101.296,106.12,dist
CYCLOTRIMETHYLENETRINITRAMINE,29,dvorak,2209.74,48.28,76.198,78.919,dist
ELECTROENCEPHALOGRAPHICALLY,27,dvorak,2188.52,48.15,81.056,84.174,dist
HYDROXYDESOXYCORTICOSTERONE,27,dvorak,2177.35,51.85,80.643,83.744,dist
PHILOSOPHICOPSYCHOLOGICAL,25,dvorak,2176.3,44.0,87.052,90.679,dist
HYDROXYDEHYDROCORTICOSTERONE,28,dvorak,2174.93,50.0,77.676,80.553,dist
GASTROENTEROANASTOMOSIS,23,dvorak,2166.93,78.26,94.214,98.497,dist
FORMALDEHYDESULPHOXYLATE,24,dvorak,2118.54,50.0,88.272,92.11,dist
PATHOLOGICOPSYCHOLOGICAL,24,dvorak,2117.99,45.83,88.25,92.087,dist
NONREPRESENTATIONALISM,22,dvorak,2101.34,68.18,95.515,100.064,dist
LAPAROCOLPOHYSTEROTOMY,22,dvorak,2100.38,54.55,95.472,100.018,dist
MELANOSARCOMATOSIS,18,dvorak,2096.59,66.67,116.477,123.329,dist
ALKYLBENZENESULFONATE,21,dvorak,2095.17,61.9,99.77,104.758,dist
ELECTROENCEPHALOGRAPHICAL,25,dvorak,2093.27,52.0,83.731,87.22,dist
GALVANOCAUTERIZATION,20,dvorak,2090.48,60.0,104.524,110.025,dist
DIPHENYLAMINECHLORARSINE,24,dvorak,2082.91,50.0,86.788,90.561,dist
LAVALAVAS,9,dvorak,1326.92,55.56,147.436,165.865,dpl
LAVALAVA,8,dvorak,1155.47,50.0,144.434,165.067,dpl
RASALAS,7,dvorak,998.75,71.43,142.679,166.458,dpl
ALASAS,6,dvorak,849.89,83.33,141.648,169.978,dpl
SASARARA,8,dvorak,1109.79,75.0,138.724,158.541,dpl
CASAVAS,7,dvorak,970.42,71.43,138.631,161.737,dpl
ZANANAS,7,dvorak,963.02,85.71,137.574,160.503,dpl
CASANOVAS,9,dvorak,1237.27,77.78,137.474,154.659,dpl
HALALAS,7,dvorak,956.83,71.43,136.69,159.472,dpl
AZAZEL,6,dvorak,820.04,50.0,136.673,164.008,dpl
PLAZAS,6,dvorak,817.46,50.0,136.243,163.492,dpl
LAZAROLE,8,dvorak,1089.41,50.0,136.176,155.63,dpl
LAZAR,5,dvorak,680.57,40.0,136.114,170.142,dpl
TARAMASALATA,12,dvorak,1626.77,75.0,135.564,147.888,dpl
SARAVAN,7,dvorak,947.65,71.43,135.379,157.942,dpl
ALAZOR,6,dvorak,810.54,50.0,135.09,162.108,dpl
SALAL,5,dvorak,674.76,60.0,134.952,168.69,dpl
VASAL,5,dvorak,673.71,60.0,134.742,168.428,dpl
RASAMALA,8,dvorak,1077.86,62.5,134.732,153.98,dpl
VAVASOR,7,dvorak,942.96,57.14,134.709,157.16,dpl
AZ,2,dvorak,181.97,50.0,90.985,181.97,dpj
ZA,2,dvorak,181.97,50.0,90.985,181.97,dpj
LAZ,3,dvorak,349.74,33.33,116.58,174.87,dpj
AZO,3,dvorak,345.01,66.67,115.003,172.505,dpj
AZAN,4,dvorak,516.34,75.0,129.085,172.113,dpj
SASA,4,dvorak,514.35,100.0,128.588,171.45,dpj
AS,2,dvorak,171.45,100.0,85.725,171.45,dpj
SA,2,dvorak,171.45,100.0,85.725,171.45,dpj
ASA,3,dvorak,342.9,100.0,114.3,171.45,dpj
LASA,4,dvorak,510.67,75.0,127.668,170.223,dpj
LAZAR,5,dvorak,680.57,40.0,136.114,170.142,dpj
ALASAS,6,dvorak,849.89,83.33,141.648,169.978,dpj
SAL,3,dvorak,339.22,66.67,113.073,169.61,dpj
LAS,3,dvorak,339.22,66.67,113.073,169.61,dpj
ALAS,4,dvorak,506.99,75.0,126.748,168.997,dpj
SALA,4,dvorak,506.99,75.0,126.748,168.997,dpj
SALAL,5,dvorak,674.76,60.0,134.952,168.69,dpj
VASA,4,dvorak,505.94,75.0,126.485,168.647,dpj
VASAL,5,dvorak,673.71,60.0,134.742,168.428,dpj
ALALA,5,dvorak,671.08,60.0,134.216,167.77,dpj
