words,length,layouts,dist,home,dpl,dpj
EEN,3,colemak,19.05,100.0,6.35,9.525
ARR,3,colemak,19.05,100.0,6.35,9.525
ULL,3,colemak,19.05,0.0,6.35,9.525
DDT,3,colemak,19.05,33.33,6.35,9.525
HHD,3,colemak,19.05,0.0,6.35,9.525
NEE,3,colemak,19.05,100.0,6.35,9.525
TSS,3,colemak,19.05,100.0,6.35,9.525
OII,3,colemak,19.05,100.0,6.35,9.525
PTT,3,colemak,19.64,66.67,6.547,9.82
PPT,3,colemak,19.64,33.33,6.547,9.82
EMM,3,colemak,21.3,33.33,7.1,10.65
MEE,3,colemak,21.3,66.67,7.1,10.65
UNN,3,colemak,23.81,66.67,7.937,11.905
PPS,3,colemak,23.81,33.33,7.937,11.905
YEE,3,colemak,23.81,66.67,7.937,11.905
IEEE,4,colemak,19.05,100.0,4.762,6.35
LULL,4,colemak,38.1,0.0,9.525,12.7
PTTS,4,colemak,38.69,75.0,9.672,12.897
KNEE,4,colemak,40.35,75.0,10.088,13.45
RAZZ,4,colemak,40.35,50.0,10.088,13.45
NEEM,4,colemak,40.35,75.0,10.088,13.45
LUNN,4,colemak,42.86,50.0,10.715,14.287
NULL,4,colemak,42.86,25.0,10.715,14.287
WAAR,4,colemak,42.86,75.0,10.715,14.287
GPSS,4,colemak,42.86,50.0,10.715,14.287
PSST,4,colemak,42.86,75.0,10.715,14.287
NELL,4,colemak,49.54,50.0,12.385,16.513
LLEU,4,colemak,50.13,25.0,12.532,16.71
MELL,4,colemak,51.79,25.0,12.948,17.263
KENN,4,colemak,53.39,75.0,13.348,17.797
KNELL,5,colemak,70.84,40.0,14.168,17.71
KNEEL,5,colemak,70.84,60.0,14.168,17.71
ENNUI,5,colemak,73.35,80.0,14.67,18.338
LLUDD,5,colemak,74.79,0.0,14.958,18.698
ULULU,5,colemak,76.2,0.0,15.24,19.05
LULLY,5,colemak,76.2,0.0,15.24,19.05
ARARA,5,colemak,76.2,100.0,15.24,19.05
ARRAS,5,colemak,76.2,100.0,15.24,19.05
SARRA,5,colemak,76.2,100.0,15.24,19.05
RAFFS,5,colemak,77.09,60.0,15.418,19.272
LUMME,5,colemak,78.75,20.0,15.75,19.688
NEELE,5,colemak,80.03,80.0,16.006,20.008
ELLEN,5,colemak,80.03,60.0,16.006,20.008
FRASS,5,colemak,80.96,80.0,16.192,20.24
WARST,5,colemak,80.96,80.0,16.192,20.24
ENNUYE,6,colemak,85.72,66.67,14.287,17.144
ENLEEN,6,colemak,88.23,83.33,14.705,17.646
UNHULL,6,colemak,100.31,16.67,16.718,20.062
NULLUM,6,colemak,100.31,16.67,16.718,20.062
UNMEEK,6,colemak,100.75,50.0,16.792,20.15
KENNEL,6,colemak,102.93,66.67,17.155,20.586
LIENEE,6,colemak,104.06,83.33,17.343,20.812
AARRGH,6,colemak,105.28,66.67,17.547,21.056
MULLEN,6,colemak,106.99,33.33,17.832,21.398
MEEKEN,6,colemak,109.03,66.67,18.172,21.806
ARZAWA,6,colemak,109.27,66.67,18.212,21.854
KEENLY,6,colemak,111.13,50.0,18.522,22.226
HEMMEL,6,colemak,111.19,33.33,18.532,22.238
MULLEY,6,colemak,111.75,16.67,18.625,22.35
BEEMEN,6,colemak,112.94,66.67,18.823,22.588
ENNUYEE,7,colemak,85.72,71.43,12.246,14.287
KENNELL,7,colemak,102.93,57.14,14.704,17.155
AARRGHH,7,colemak,105.28,57.14,15.04,17.547
SAWARRA,7,colemak,123.82,85.71,17.689,20.637
BLUNNEN,7,colemak,125.89,57.14,17.984,20.982
CARRARA,7,colemak,127.49,85.71,18.213,21.248
GLEEMEN,7,colemak,130.24,57.14,18.606,21.707
BUNNELL,7,colemak,130.7,42.86,18.671,21.783
TARRASS,7,colemak,133.35,100.0,19.05,22.225
ZAFFARS,7,colemak,136.2,57.14,19.457,22.7
HELLENE,7,colemak,137.18,57.14,19.597,22.863
SCHNELL,7,colemak,141.18,42.86,20.169,23.53
JUNKMEN,7,colemak,142.61,42.86,20.373,23.768
MOYENNE,7,colemak,143.69,71.43,20.527,23.948
KNEEING,7,colemak,144.41,71.43,20.63,24.068
KENNELLY,8,colemak,141.03,50.0,17.629,20.147
ENKENNEL,8,colemak,143.28,75.0,17.91,20.469
UNKENNEL,8,colemak,148.04,62.5,18.505,21.149
ARRASTRA,8,colemak,152.4,100.0,19.05,21.771
JULIENNE,8,colemak,161.21,62.5,20.151,23.03
ENNUYING,8,colemak,166.56,62.5,20.82,23.794
MOULLEEN,8,colemak,166.79,50.0,20.849,23.827
KEENNESS,8,colemak,167.69,87.5,20.961,23.956
UNKENNED,8,colemak,174.7,62.5,21.838,24.957
CHEYENNE,8,colemak,175.11,62.5,21.889,25.016
UNMEEKLY,8,colemak,177.25,37.5,22.156,25.321
MENEHUNE,8,colemak,178.76,62.5,22.345,25.537
UNHEMMED,8,colemak,180.71,37.5,22.589,25.816
EELGRASS,8,colemak,181.48,75.0,22.685,25.926
TUNNELLY,8,colemak,185.38,50.0,23.172,26.483
KENNELLED,9,colemak,190.57,55.56,21.174,23.821
ILLUMINEE,9,colemak,195.85,55.56,21.761,24.481
UNKNELLED,9,colemak,203.59,44.44,22.621,25.449
NEEDLEMEN,9,colemak,206.74,66.67,22.971,25.842
EELBLENNY,9,colemak,208.29,55.56,23.143,26.036
WARCRAFTS,9,colemak,218.53,66.67,24.281,27.316
UNKENNING,9,colemak,221.61,66.67,24.623,27.701
UNKENNELS,9,colemak,221.97,66.67,24.663,27.746
EMBARRASS,9,colemak,223.42,77.78,24.824,27.928
NUMMULINE,9,colemak,223.72,44.44,24.858,27.965
RADDLEMEN,9,colemak,225.79,55.56,25.088,28.224
HULLOOING,9,colemak,226.29,44.44,25.143,28.286
UNLENIENT,9,colemak,226.34,77.78,25.149,28.292
UMBELLULE,9,colemak,226.87,22.22,25.208,28.359
TUNNELMEN,9,colemak,228.32,66.67,25.369,28.54
KENNELLING,10,colemak,234.85,60.0,23.485,26.094
UNKENNELED,10,colemak,235.68,60.0,23.568,26.187
UNMEEKNESS,10,colemak,236.35,70.0,23.635,26.261
MILLENNIUM,10,colemak,237.78,50.0,23.778,26.42
UNKNEELING,10,colemak,247.87,60.0,24.787,27.541
CARRAGHEEN,10,colemak,250.96,70.0,25.096,27.884
ENLINKMENT,10,colemak,261.55,70.0,26.155,29.061
UNIMMINENT,10,colemak,263.94,70.0,26.394,29.327
MEDDLEMENT,10,colemak,266.14,50.0,26.614,29.571
STAATSRAAD,10,colemak,266.7,90.0,26.67,29.633
UNDULLNESS,10,colemak,270.64,50.0,27.064,30.071
EMBLEMENTS,10,colemak,272.67,60.0,27.267,30.297
STEENBRASS,10,colemak,275.13,90.0,27.513,30.57
SULLENNESS,10,colemak,275.36,70.0,27.536,30.596
SPLEENLESS,10,colemak,275.88,70.0,27.588,30.653
