words,length,layouts,dist,home,dpl,dpj
SAA,3,workman,19.05,100.0,6.35,9.525
GTT,3,workman,19.05,66.67,6.35,9.525
ASS,3,workman,19.05,100.0,6.35,9.525
AAS,3,workman,19.05,100.0,6.35,9.525
CCM,3,workman,19.05,0.0,6.35,9.525
NEE,3,workman,19.05,100.0,6.35,9.525
OII,3,workman,19.05,100.0,6.35,9.525
SHH,3,workman,19.05,100.0,6.35,9.525
EEN,3,workman,19.05,100.0,6.35,9.525
OPP,3,workman,19.64,33.33,6.547,9.82
EEL,3,workman,21.3,66.67,7.1,10.65
LEE,3,workman,21.3,66.67,7.1,10.65
ELL,3,workman,21.3,33.33,7.1,10.65
PEE,3,workman,23.81,66.67,7.937,11.905
UNN,3,workman,23.81,66.67,7.937,11.905
BRRR,4,workman,38.1,0.0,9.525,12.7
FUFF,4,workman,38.1,0.0,9.525,12.7
IEEE,4,workman,38.1,100.0,9.525,12.7
PUFF,4,workman,38.1,0.0,9.525,12.7
SASS,4,workman,38.1,100.0,9.525,12.7
VVLL,4,workman,38.1,0.0,9.525,12.7
POOP,4,workman,39.28,50.0,9.82,13.093
NELL,4,workman,40.35,50.0,10.088,13.45
KNEE,4,workman,40.35,75.0,10.088,13.45
LLEU,4,workman,40.94,25.0,10.235,13.647
ELLE,4,workman,42.6,50.0,10.65,14.2
PEEN,4,workman,42.86,75.0,10.715,14.287
SAAD,4,workman,42.86,75.0,10.715,14.287
NEEP,4,workman,42.86,75.0,10.715,14.287
ADDR,4,workman,42.86,25.0,10.715,14.287
ADDDA,5,workman,47.62,40.0,9.524,11.905
UPPOP,5,workman,58.33,20.0,11.666,14.582
LENNY,5,workman,59.4,60.0,11.88,14.85
ELLEN,5,workman,61.65,60.0,12.33,15.412
KNELL,5,workman,61.65,40.0,12.33,15.412
NEELE,5,workman,61.65,80.0,12.33,15.412
KNEEL,5,workman,61.65,60.0,12.33,15.412
FUNNY,5,workman,61.91,40.0,12.382,15.478
PUNNY,5,workman,61.91,40.0,12.382,15.478
PENNY,5,workman,61.91,60.0,12.382,15.478
FUFFY,5,workman,61.91,0.0,12.382,15.478
PUFFY,5,workman,61.91,0.0,12.382,15.478
PEELE,5,workman,66.41,60.0,13.282,16.602
FENNY,5,workman,68.59,60.0,13.718,17.148
OOLLY,5,workman,68.68,40.0,13.736,17.17
UPPUFF,6,workman,57.15,0.0,9.525,11.43
POLLEE,6,workman,75.28,50.0,12.547,15.056
UPPULL,6,workman,76.5,0.0,12.75,15.3
ENLEEN,6,workman,80.7,83.33,13.45,16.14
FUNNEL,6,workman,83.21,50.0,13.868,16.642
POPPEL,6,workman,84.39,33.33,14.065,16.878
EPOPEE,6,workman,86.9,66.67,14.483,17.38
FENNEL,6,workman,89.89,66.67,14.982,17.978
FELLEN,6,workman,92.14,50.0,15.357,18.428
KENNEL,6,workman,93.74,66.67,15.623,18.748
POLLEN,6,workman,94.33,50.0,15.722,18.866
KNUFFE,6,workman,94.65,33.33,15.775,18.93
UNFEEL,6,workman,95.24,50.0,15.873,19.048
OPPONE,6,workman,96.43,66.67,16.072,19.286
PULLEN,6,workman,97.8,33.33,16.3,19.56
