row,row_index,x-coord,y-coord,qwerty,dvorak,colemak,workman,home_row
1,1,0,0,Q,',Q,Q,FALSE
1,2,19.05,0,W,",",W,D,FALSE
1,3,38.1,0,E,.,F,R,FALSE
1,4,57.15,0,R,P,P,W,FALSE
1,5,76.2,0,T,Y,G,B,FALSE
1,6,95.25,0,Y,F,J,J,FALSE
1,7,114.3,0,U,G,L,F,FALSE
1,8,133.35,0,I,C,U,U,FALSE
1,9,152.4,0,O,R,Y,P,FALSE
1,10,171.45,0,P,L,;,;,FALSE
2,1,4.7625,19.05,A,A,A,A,TRUE
2,2,23.8125,19.05,S,O,R,S,TRUE
2,3,42.8625,19.05,D,E,S,H,TRUE
2,4,61.9125,19.05,F,U,T,T,TRUE
2,5,80.9625,19.05,G,I,D,G,FALSE
2,6,100.0125,19.05,H,D,H,Y,FALSE
2,7,119.0625,19.05,J,H,N,N,TRUE
2,8,138.1125,19.05,K,T,E,E,TRUE
2,9,157.1625,19.05,L,N,I,O,TRUE
2,10,176.2125,19.05,;,S,O,I,TRUE
3,1,14.2875,38.1,Z,;,Z,Z,FALSE
3,2,33.3375,38.1,X,Q,X,X,FALSE
3,3,52.3875,38.1,C,J,C,M,FALSE
3,4,71.4375,38.1,V,K,V,C,FALSE
3,5,90.4875,38.1,B,X,B,V,FALSE
3,6,109.5375,38.1,N,B,K,K,FALSE
3,7,128.5875,38.1,M,M,M,L,FALSE
3,8,147.6375,38.1,",",W,",",",",FALSE
3,9,166.6875,38.1,.,V,.,.,FALSE
3,10,185.7375,38.1,/,Z,/,/,FALSE
