rank,qw_words,qwerty,qw_dpl,qw_dpj,dv_words,dvorak,dv_dpl,dv_dpj,co_words,colemak,co_dpl,co_dpj,wo_words,workman,wo_dpl,wo_dpj
1,QP,171.45,85.725,171.45,ZA,181.97,90.985,181.97,AO,171.45,85.725,171.45,IQ,177.24,88.62,177.24
2,PQ,171.45,85.725,171.45,AZ,181.97,90.985,181.97,ZOA,334.49,111.497,167.245,AI,171.45,85.725,171.45
3,PA,167.77,83.885,167.77,LAZ,349.74,116.58,174.87,WOA,329.76,109.92,164.88,IA,171.45,85.725,171.45
4,APA,335.54,111.847,167.77,AZO,345.01,115.003,172.505,OZ,163.04,81.52,163.04,QID,335.55,111.85,167.775
5,AP,167.77,83.885,167.77,AZAN,516.34,129.085,172.113,ZO,163.04,81.52,163.04,ZIZIA,660.57,132.114,165.142
6,PAPA,503.31,125.828,167.77,ASA,342.9,114.3,171.45,AOR,323.85,107.95,161.925,AID,329.76,109.92,164.88
7,PAP,335.54,111.847,167.77,SA,171.45,85.725,171.45,IAO,323.85,107.95,161.925,DIA,329.76,109.92,164.88
8,PAPAL,655.71,131.142,163.928,AS,171.45,85.725,171.45,YAO,320.31,106.77,160.155,AIS,323.85,107.95,161.925
9,PAPS,484.4,121.1,161.467,SASA,514.35,128.588,171.45,IQ,158.31,79.155,158.31,SIA,323.85,107.95,161.925
10,ALAPA,640.34,128.068,160.085,LASA,510.67,127.668,170.223,WO,158.31,79.155,158.31,IAO,323.85,107.95,161.925
11,LAP,320.17,106.723,160.085,LAZAR,680.57,136.114,170.142,OW,158.31,79.155,158.31,SIDIA,640.47,128.094,160.118
12,PAL,320.17,106.723,160.085,ALASAS,849.89,141.648,169.978,WOW,316.62,105.54,158.31,PAID,478.62,119.655,159.54
13,PALAPALA,1112.91,139.114,158.987,LAS,339.22,113.073,169.61,ROW,310.71,103.57,155.355,ISIDIA,792.87,132.145,158.574
14,SPA,316.63,105.543,158.315,SAL,339.22,113.073,169.61,OR,152.4,76.2,152.4,DI,158.31,79.155,158.31
15,QL,158.31,79.155,158.31,SALA,506.99,126.748,168.997,RO,152.4,76.2,152.4,ID,158.31,79.155,158.31
16,PALA,472.57,118.142,157.523,ALAS,506.99,126.748,168.997,IA,152.4,76.2,152.4,DID,316.62,105.54,158.31
17,ALAP,472.57,118.142,157.523,SALAL,674.76,134.952,168.69,QY,152.4,76.2,152.4,AIX,315.59,105.197,157.795
18,LAPS,469.03,117.258,156.343,VASA,505.94,126.485,168.647,AI,152.4,76.2,152.4,PAIS,472.71,118.178,157.57
19,PAPE,468.89,117.222,156.297,VASAL,673.71,134.742,168.428,COROZO,756.16,126.027,151.232,APAID,627.48,125.496,156.87
20,KAPA,468.89,117.222,156.297,AL,167.77,83.885,167.77,COROA,601.53,120.306,150.382,SIDI,469.02,117.255,156.34
