rank,qw_words,qwerty,qw_dpl,qw_dpj,dv_words,dvorak,dv_dpl,dv_dpj,co_words,colemak,co_dpl,co_dpj,wo_words,workman,wo_dpl,wo_dpj
1,PALAPALA,1112.91,139.114,158.987,LAVALAVAS,1326.92,147.436,165.865,COROZOS,889.51,127.073,148.252,ISIDIA,792.87,132.145,158.574
2,PALAPALAI,1242.9,138.1,155.362,LAVALAVA,1155.47,144.434,165.067,COROZO,756.16,126.027,151.232,ZIZIA,660.57,132.114,165.142
3,PAPAL,655.71,131.142,163.928,RASALAS,998.75,142.679,166.458,SORORIZE,993.32,124.165,141.903,DIAPSID,919.32,131.331,153.22
4,PALALA,777.37,129.562,155.474,ALASAS,849.89,141.648,169.978,RIRORIRO,990.6,123.825,141.514,DISPAIR,900.43,128.633,150.072
5,ALAPA,640.34,128.068,160.085,SASARARA,1109.79,138.724,158.541,SORORIAL,987.48,123.435,141.069,SIDIA,640.47,128.094,160.118
6,PAPA,503.31,125.828,167.77,CASAVAS,970.42,138.631,161.737,BOROROAN,983.17,122.896,140.453,PAIRIAL,895.88,127.983,149.313
7,JALAPA,754.64,125.773,150.928,ZANANAS,963.02,137.574,160.503,TOCORORO,974.46,121.808,139.209,ISIDORIAN,1148.28,127.587,143.535
8,PALAKA,739.27,123.212,147.854,CASANOVAS,1237.27,137.474,154.659,POROPORO,971.34,121.418,138.763,IRIDIAL,892.19,127.456,148.698
9,JALAPS,735.73,122.622,147.146,HALALAS,956.83,136.69,159.472,ROSORIAL,968.43,121.054,138.347,MISPAID,886.29,126.613,147.715
10,ALALA,609.6,121.92,152.4,AZAZEL,820.04,136.673,164.008,COROA,601.53,120.306,150.382,IRIDIZE,883.78,126.254,147.297
11,ANAPANAPA,1097.04,121.893,137.13,PLAZAS,817.46,136.243,163.492,ZOAEA,601.19,120.238,150.298,IRIDIAN,881.21,125.887,146.868
12,PAPS,484.4,121.1,161.467,LAZAROLE,1089.41,136.176,155.63,ISOAURORE,1079.37,119.93,134.921,IRIDODESIS,1255.67,125.567,139.519
13,HALAPEPE,967.87,120.984,138.267,LAZAR,680.57,136.114,170.142,TOROTORO,952.5,119.062,136.071,IRIDIZED,1004.36,125.545,143.48
14,PALAMA,723.13,120.522,144.626,TARAMASALATA,1626.77,135.564,147.888,SPOROZOA,946.72,118.34,135.246,APAID,627.48,125.496,156.87
15,SLAPS,602.38,120.476,150.595,SARAVAN,947.65,135.379,157.942,AURORIAN,946.02,118.252,135.146,OXIDIZE,874.36,124.909,145.727
16,KAPAI,598.88,119.776,149.72,ALAZOR,810.54,135.09,162.108,SPOROZOAN,1061.02,117.891,132.628,APHIDIAN,995.76,124.47,142.251
17,SOAPS,595.48,119.096,148.87,SALAL,674.76,134.952,168.69,RIZIFORM,940.52,117.565,134.36,OXIDIZED,994.94,124.368,142.134
18,PALAIS,713.74,118.957,142.748,VASAL,673.71,134.742,168.428,SPOROZOAL,1057.9,117.544,132.238,PALAPALAI,1119.15,124.35,139.894
19,NAPAL,594.43,118.886,148.608,RASAMALA,1077.86,134.732,153.98,ISOCORIA,936.36,117.045,133.766,APHIDID,868.32,124.046,144.72
20,ALAP,472.57,118.142,157.523,VAVASOR,942.96,134.709,157.16,ZIZIA,584.82,116.964,146.205,VIZIRIAL,989.47,123.684,141.353
