rank,qw_words,qwerty,qw_dpl,qw_dpj,dv_words,dvorak,dv_dpl,dv_dpj,co_words,colemak,co_dpl,co_dpj,wo_words,workman,wo_dpl,wo_dpj
1,DICHLORODIPHENYLTRICHLOROETHANE,2119.49,68.371,70.65,REGENERATORYREGENERATRESS,2427.09,97.084,101.129,HYDROXYDESOXYCORTICOSTERONE,2558.52,94.76,98.405,ANTIDISESTABLISHMENTARIANISM,2390.0,85.357,88.519
2,ANTIDISESTABLISHMENTARIANISM,2031.77,72.563,75.251,DICHLORODIPHENYLTRICHLOROETHANE,2317.24,74.75,77.241,HYDROXYDEHYDROCORTICOSTERONE,2456.35,87.727,90.976,DICHLORODIPHENYLTRICHLOROETHANE,2298.7,74.152,76.623
3,ELECTROENCEPHALOGRAPHICALLY,2006.96,74.332,77.191,ANTIDISESTABLISHMENTARIANISM,2274.11,81.218,84.226,DICHLORODIPHENYLTRICHLOROETHANE,2240.55,72.276,74.685,HYDROXYDESOXYCORTICOSTERONE,2229.62,82.579,85.755
4,ELECTROENCEPHALOGRAPHICAL,1942.18,77.687,80.924,URETEROCYSTANASTOMOSIS,2261.44,102.793,107.688,ZYGOMATICOAURICULARIS,2020.89,96.233,101.044,HYDROXYDEHYDROCORTICOSTERONE,2216.03,79.144,82.075
5,MANDIBULOSUSPENSORIAL,1912.16,91.055,95.608,ALKYLBENZENESULFONATES,2228.52,101.296,106.12,PHILOSOPHICOPSYCHOLOGICAL,2012.44,80.498,83.852,PHILOSOPHICOHISTORICAL,2149.85,97.72,102.374
6,HYDROXYDESOXYCORTICOSTERONE,1827.8,67.696,70.3,CYCLOTRIMETHYLENETRINITRAMINE,2209.74,76.198,78.919,ANTIDISESTABLISHMENTARIANISM,1999.52,71.411,74.056,ANTIDISESTABLISHMENTARIAN,2146.11,85.844,89.421
7,MICROSPECTROPHOTOMETRICALLY,1809.18,67.007,69.584,ELECTROENCEPHALOGRAPHICALLY,2188.52,81.056,84.174,MICROSPECTROPHOTOMETRICALLY,1967.11,72.856,75.658,MICROSPECTROPHOTOMETRICALLY,2143.33,79.383,82.436
8,HYDROXYDEHYDROCORTICOSTERONE,1785.18,63.756,66.118,HYDROXYDESOXYCORTICOSTERONE,2177.35,80.643,83.744,DIHDROXYCHOLECALCIFEROL,1944.23,84.532,88.374,MICROSPECTROPHOTOMETRICAL,2108.99,84.36,87.875
9,ANTIDISESTABLISHMENTARIAN,1769.17,70.767,73.715,PHILOSOPHICOPSYCHOLOGICAL,2176.3,87.052,90.679,HYDROXYCORTICOSTERONE,1929.69,91.89,96.484,OVERINDIVIDUALISTICALLY,2074.19,90.182,94.281
10,MICROSPECTROPHOTOMETRICAL,1744.4,69.776,72.683,HYDROXYDEHYDROCORTICOSTERONE,2174.93,77.676,80.553,MICROSPECTROPHOTOMETRICAL,1929.01,77.16,80.375,PSEUDOHERMAPHRODITISM,2034.32,96.872,101.716
11,ELECTROENCEPHALOGRAPHIC,1738.49,75.587,79.022,GASTROENTEROANASTOMOSIS,2166.93,94.214,98.497,URETEROCYSTANASTOMOSIS,1928.84,87.675,91.85,PHILOSOPHICOPSYCHOLOGICAL,2005.39,80.216,83.558
12,DISESTABLISHMENTARIANISM,1725.03,71.876,75.001,FORMALDEHYDESULPHOXYLATE,2118.54,88.272,92.11,FORMALDEHYDESULPHOXYLATE,1894.05,78.919,82.35,FORMALDEHYDESULPHOXYLATE,1999.33,83.305,86.927
13,DISESTABLISMENTARIANISM,1720.98,74.825,78.226,PATHOLOGICOPSYCHOLOGICAL,2117.99,88.25,92.087,SNAILFISHESSNAILFLOWER,1891.57,85.98,90.075,PANCREATICODUODENOSTOMY,1991.84,86.602,90.538
14,SCIENTIFICOGEOGRAPHICAL,1720.74,74.815,78.215,NONREPRESENTATIONALISM,2101.34,95.515,100.064,SCIENTIFICOPHILOSOPHICAL,1887.85,78.66,82.08,SCLEROTICOCHORIOIDITIS,1988.17,90.371,94.675
15,PSEUDOHERMAPHRODITISM,1699.27,80.918,84.964,LAPAROCOLPOHYSTEROTOMY,2100.38,95.472,100.018,DESOXYCORTICOSTERONE,1876.22,93.811,98.748,PERICARDIOMEDIASTINITIS,1987.08,86.395,90.322
16,ELECTROENCEPHALOGRAPHS,1686.81,76.673,80.324,MELANOSARCOMATOSIS,2096.59,116.477,123.329,PHILOSOPHICOHISTORICAL,1874.57,85.208,89.265,MANDIBULOSUSPENSORIAL,1971.3,93.871,98.565
17,FORMALDEHYDESULPHOXYLATE,1683.69,70.154,73.204,ALKYLBENZENESULFONATE,2095.17,99.77,104.758,SCLEROTICOCHOROIDITIS,1866.33,88.873,93.316,HEXOSEDIPHOSPHORIC,1964.84,109.158,115.579
18,HISTORICOCABBALISTICAL,1683.55,76.525,80.169,ELECTROENCEPHALOGRAPHICAL,2093.27,83.731,87.22,SCLEROTICOCHORIOIDITIS,1866.33,84.833,88.873,HEMIDEMISEMIQUAVER,1961.64,108.98,115.391
19,ZYGOMATICOAURICULARIS,1683.01,80.143,84.15,GALVANOCAUTERIZATION,2090.48,104.524,110.025,PATHOLOGICOPSYCHOLOGICAL,1847.08,76.962,80.308,HISTORICOCABBALISTICAL,1960.91,89.132,93.377
20,BLEPHAROHEMATIDROSIS,1682.38,84.119,88.546,DIPHENYLAMINECHLORARSINE,2082.91,86.788,90.561,DESOXYRIBONUCLEOPROTEIN,1846.16,80.268,83.916,PSEUDOINTERNATIONALISTIC,1957.24,81.552,85.097
