distance,qwerty,dvorak,colemak,workman
0.0,QQ,'',QQ,QQ
19.05,QW,"',",QW,QD
38.1,QE,'.,QF,QR
57.15,QR,'P,QP,QW
76.2,QT,'Y,QG,QB
95.25,QY,'F,QJ,QJ
114.3,QU,'G,QL,QF
133.35,QI,'C,QU,QU
152.4,QO,'R,QY,QP
171.45,QP,'L,Q;,Q;
19.64,QA,'A,QA,QA
30.49,QS,'O,QR,QS
46.91,QD,'E,QS,QH
64.78,QF,'U,QT,QT
83.17,QG,'I,QD,QG
101.81,QH,'D,QH,QY
120.58,QJ,'H,QN,QN
139.42,QK,'T,QE,QE
158.31,QL,'N,QI,QO
177.24,Q;,'S,QO,QI
40.69,QZ,';,QZ,QZ
50.63,QX,'Q,QX,QX
64.78,QC,'J,QC,QM
80.96,QV,'K,QV,QC
98.18,QB,'X,QB,QV
115.97,QN,'B,QK,QK
134.11,QM,'M,QM,QL
152.47,"Q,",'W,"Q,","Q,"
170.99,Q.,'V,Q.,Q.
189.6,Q/,'Z,Q/,Q/
19.05,WQ,",'",WQ,DQ
0.0,WW,",,",WW,DD
19.05,WE,",.",WF,DR
38.1,WR,",P",WP,DW
57.15,WT,",Y",WG,DB
76.2,WY,",F",WJ,DJ
95.25,WU,",G",WL,DF
114.3,WI,",C",WU,DU
133.35,WO,",R",WY,DP
152.4,WP,",L",W;,D;
23.81,WA,",A",WA,DA
19.64,WS,",O",WR,DS
30.49,WD,",E",WS,DH
46.91,WF,",U",WT,DT
64.78,WG,",I",WD,DG
83.17,WH,",D",WH,DY
101.81,WJ,",H",WN,DN
120.58,WK,",T",WE,DE
139.42,WL,",N",WI,DO
158.31,W;,",S",WO,DI
38.4,WZ,",;",WZ,DZ
40.69,WX,",Q",WX,DX
50.63,WC,",J",WC,DM
64.78,WV,",K",WV,DC
80.96,WB,",X",WB,DV
98.18,WN,",B",WK,DK
115.97,WM,",M",WM,DL
134.11,"W,",",W","W,","D,"
152.47,W.,",V",W.,D.
170.99,W/,",Z",W/,D/
38.1,EQ,.',FQ,RQ
19.05,EW,".,",FW,RD
0.0,EE,..,FF,RR
19.05,ER,.P,FP,RW
38.1,ET,.Y,FG,RB
57.15,EY,.F,FJ,RJ
76.2,EU,.G,FL,RF
95.25,EI,.C,FU,RU
114.3,EO,.R,FY,RP
133.35,EP,.L,F;,R;
38.4,EA,.A,FA,RA
23.81,ES,.O,FR,RS
19.64,ED,.E,FS,RH
30.49,EF,.U,FT,RT
46.91,EG,.I,FD,RG
64.78,EH,.D,FH,RY
83.17,EJ,.H,FN,RN
